district.x,school.x,school_id,report_card_type_p_e_m_h_d,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,year,district.y,school.y,type,e_pct_me,e_pct_in_need_of_support,m_pct_me,m_pct_in_need_of_support,sc_pct_me,p17_sci1nm,sc_pct_in_need_of_support,total_actively_enrolled_students,gender_female,gender_male,black_or_african_american,white,schoolid,gender_missing,pupils_in_poverty,all_other_races
"Abbeville
County School
District",Abbeville High School,0160001,H,701 Washington Street,Abbeville,SC,29620,9-12,449,864-366-5916,https://ahs.acsdsc.org/o/abbeville-high-school,Dr. Adam Lanford,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District",Dixie High School,0160003,H,1 Haynes St.,Due West,SC,29639,8-12,452,864-379-2186,https://dxhs.acsdsc.org/o/dixie-high-school,Paul Prescott,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District","John C. Calhoun
Elementary School",0160007,E,"750 North Calhoun
Shores Parkway",Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,Milton Scott,14,2018,Abbeville County School District,John C. Calhoun Elementary School,E,36.7,20.3,44.3,17.7,48.3,NA,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District","John C. Calhoun
Elementary School",0160007,E,"750 North Calhoun
Shores Parkway",Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,Milton Scott,14,2019,Abbeville County School District,John C. Calhoun Elementary School,E,36.9,23.8,54.8,14.3,55.6,NA,7.4,177,74,103,104,53,NA,0,154,20
"Abbeville
County School
District",Wright Middle School,0160016,M,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,Brenda Jackson,31,2018,Abbeville County School District,Wright Middle School,M,51.5,15,62.9,13.1,70.7,NA,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District",Wright Middle School,0160016,M,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,Brenda Jackson,31,2019,Abbeville County School District,Wright Middle School,M,57.1,14.8,58.2,10.7,63.7,NA,15.1,374,171,203,180,176,NA,0,256,18
"Abbeville
County School
District",Westwood Elementary,0160017,E,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,Darren Gray,25,2018,Abbeville County School District,Westwood Elementary,E,45.7,19.3,65.5,10.1,52.5,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District",Westwood Elementary,0160017,E,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,Darren Gray,25,2019,Abbeville County School District,Westwood Elementary,E,50.1,21.3,64.3,10.7,55.8,NA,23.1,356,168,188,165,171,NA,0,270,19
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,E,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,"Donald O.
Clendaniel III",28,2018,Abbeville County School District,Cherokee Trail Elementary School,E,51.2,10.8,62,6,60.9,NA,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,E,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,"Donald O.
Clendaniel III",28,2018,Abbeville County School District,Cherokee Trail Elementary School,M,53.2,10.8,69.4,9.9,71.7,NA,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,E,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,"Donald O.
Clendaniel III",28,2019,Abbeville County School District,Cherokee Trail Elementary School,E,56,13.8,61,9.4,68.6,NA,13.7,442,200,242,47,386,NA,0,259,9
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,E,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,"Donald O.
Clendaniel III",28,2019,Abbeville County School District,Cherokee Trail Elementary School,M,52.8,17.9,61.3,10.4,78.4,NA,7.8,442,200,242,47,386,NA,0,259,9
"Abbeville
County School
District",Diamond Hill Elementary,0160019,E,"104 Lake Secession
Road",Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,2018,Abbeville County School District,Diamond Hill,E,50.9,17.9,75,7.1,68.6,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District",Diamond Hill Elementary,0160019,E,"104 Lake Secession
Road",Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,2018,Abbeville County School District,Diamond Hill,M,54.7,14.7,52,14.7,58.3,NA,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District",Diamond Hill Elementary,0160019,E,"104 Lake Secession
Road",Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,2019,Abbeville County School District,Diamond Hill Elementary,E,43.5,27,60,13.9,55.8,NA,16.3,348,179,169,40,304,NA,0,244,4
"Abbeville
County School
District",Diamond Hill Elementary,0160019,E,"104 Lake Secession
Road",Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,2019,Abbeville County School District,Diamond Hill Elementary,M,48.1,22.8,50.6,13.9,51.3,NA,20.5,348,179,169,40,304,NA,0,244,4
"Aiken County
Public School
District",Silver Bluff High School,0201001,H,64 DeSoto Drive,Aiken,SC,29803,9-12,650,803-652-8100,www.acpsd.net/sbhs,Dr. Katie Briscoe,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Aiken High School,0201002,H,449 Rutland Dr.,Aiken,SC,29801,9-12,1244,803-641-2500,www.acpsd.net/ahs,Dr. Jason Holt,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",South Aiken High School,0201003,H,"232 East Pine Log
Road",Aiken,SC,29803,9-12,1348,803-641-2600,https://www.acpsd.net/sahs,Samuel A. Fuller,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Jefferson Elementary,0201005,E,170 Flint Drive,Warrenville,SC,29851,PK-5,526,803-593-7180,www.acpsd.net/JES,Becky Wilson,39,2018,Aiken County Public School District,Jefferson Elementary,E,32.8,29.7,35.8,26.7,45.6,NA,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Jefferson Elementary,0201005,E,170 Flint Drive,Warrenville,SC,29851,PK-5,526,803-593-7180,www.acpsd.net/JES,Becky Wilson,39,2019,Aiken County Public School District,Jefferson Elementary,E,42.3,30.3,39.3,28.6,54.4,NA,13.9,576,261,315,109,343,NA,0,424,124
"Aiken County
Public School
District",Midland Valley High School,0201006,H,227 Mustang Drive,Graniteville,SC,29829,9-12,1255,803-593-7100,https://www.acpsd.net/Domain/21,"Sheldon
Higgenbottom",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Paul Knox Middle School,0201007,M,1804 Wells Road,North Augusta,SC,29841,6-8,749,803-442-6300,https://www.acpsd.net/PKMS,Paige Day,39,2018,Aiken County Public School District,Paul Knox Middle School,M,43.4,24.8,39.9,26.3,55.5,NA,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Paul Knox Middle School,0201007,M,1804 Wells Road,North Augusta,SC,29841,6-8,749,803-442-6300,https://www.acpsd.net/PKMS,Paige Day,39,2019,Aiken County Public School District,Paul Knox Middle School,M,49.2,19.7,42.8,24.7,64.2,NA,15,750,367,383,225,413,NA,0,411,112
